,Variable,Importance,Cluster Name
0,School Poverty,0.17428951341369248,All Clusters
1,School Poverty,0.1767369101554218,All Clusters
2,School Poverty,0.16867123125942518,All Clusters
3,School Poverty,0.17446503613947517,All Clusters
4,School Poverty,0.17252397524970642,All Clusters
5,School Poverty,0.17387299848440885,All Clusters
6,School Poverty,0.17849254948550364,All Clusters
7,School Poverty,0.17838894965371277,All Clusters
8,School Poverty,0.1674117663576815,All Clusters
9,School Poverty,0.1738464836178215,All Clusters
10,School Poverty,0.16601970213630668,All Clusters
11,School Poverty,0.18134612677786544,All Clusters
12,School Poverty,0.17535785043059282,All Clusters
13,School Poverty,0.1838153972924027,All Clusters
14,School Poverty,0.18213690336388166,All Clusters
15,School Poverty,0.18242874298744305,All Clusters
16,School Poverty,0.18185676264765271,All Clusters
17,School Poverty,0.17417879184689666,All Clusters
18,School Poverty,0.17460316539436138,All Clusters
19,School Poverty,0.17341061229624044,All Clusters
20,Adult Ed Attainment,0.041914850544700566,All Clusters
21,Adult Ed Attainment,0.04273455805989712,All Clusters
22,Adult Ed Attainment,0.03518475045608871,All Clusters
23,Adult Ed Attainment,0.04001042621157069,All Clusters
24,Adult Ed Attainment,0.03824553757896554,All Clusters
25,Adult Ed Attainment,0.041893735655490594,All Clusters
26,Adult Ed Attainment,0.04041187899585641,All Clusters
27,Adult Ed Attainment,0.0423346901690268,All Clusters
28,Adult Ed Attainment,0.0409192894227447,All Clusters
29,Adult Ed Attainment,0.04025926619603892,All Clusters
30,Adult Ed Attainment,0.03987905869242492,All Clusters
31,Adult Ed Attainment,0.03870770530185663,All Clusters
32,Adult Ed Attainment,0.042583770100792395,All Clusters
33,Adult Ed Attainment,0.043253371591957634,All Clusters
34,Adult Ed Attainment,0.04222794128473051,All Clusters
35,Adult Ed Attainment,0.04363679754050842,All Clusters
36,Adult Ed Attainment,0.03955673822601624,All Clusters
37,Adult Ed Attainment,0.041337388328800184,All Clusters
38,Adult Ed Attainment,0.04223474107233671,All Clusters
39,Adult Ed Attainment,0.043959845218748295,All Clusters
40,3rd Grade Reading Proficiency,0.037511051073838675,All Clusters
41,3rd Grade Reading Proficiency,0.03629086011136595,All Clusters
42,3rd Grade Reading Proficiency,0.03661539879892162,All Clusters
43,3rd Grade Reading Proficiency,0.03587243746954949,All Clusters
44,3rd Grade Reading Proficiency,0.03584349532903974,All Clusters
45,3rd Grade Reading Proficiency,0.03526565754080646,All Clusters
46,3rd Grade Reading Proficiency,0.037726837340799624,All Clusters
47,3rd Grade Reading Proficiency,0.03746422428693885,All Clusters
48,3rd Grade Reading Proficiency,0.03756470269404566,All Clusters
49,3rd Grade Reading Proficiency,0.03783837551200997,All Clusters
50,3rd Grade Reading Proficiency,0.035022180665239655,All Clusters
51,3rd Grade Reading Proficiency,0.04079416948534842,All Clusters
52,3rd Grade Reading Proficiency,0.039093044328879056,All Clusters
53,3rd Grade Reading Proficiency,0.03446362365690203,All Clusters
54,3rd Grade Reading Proficiency,0.035892565674744636,All Clusters
55,3rd Grade Reading Proficiency,0.03657601081338613,All Clusters
56,3rd Grade Reading Proficiency,0.03489188394007858,All Clusters
57,3rd Grade Reading Proficiency,0.037093828618380176,All Clusters
58,3rd Grade Reading Proficiency,0.036858332261363036,All Clusters
59,3rd Grade Reading Proficiency,0.04071866538583613,All Clusters
60,3rd Grade Math Proficiency,0.026022444358767882,All Clusters
61,3rd Grade Math Proficiency,0.022796744980592476,All Clusters
62,3rd Grade Math Proficiency,0.02445395324986699,All Clusters
63,3rd Grade Math Proficiency,0.02306849738022343,All Clusters
64,3rd Grade Math Proficiency,0.024724272228871302,All Clusters
65,3rd Grade Math Proficiency,0.024807256198000727,All Clusters
66,3rd Grade Math Proficiency,0.024851462523925227,All Clusters
67,3rd Grade Math Proficiency,0.026653021671556254,All Clusters
68,3rd Grade Math Proficiency,0.02424388133117128,All Clusters
69,3rd Grade Math Proficiency,0.024756098375447455,All Clusters
70,3rd Grade Math Proficiency,0.02190915760231149,All Clusters
71,3rd Grade Math Proficiency,0.02791826515666085,All Clusters
72,3rd Grade Math Proficiency,0.026569326170391094,All Clusters
73,3rd Grade Math Proficiency,0.023986878560653624,All Clusters
74,3rd Grade Math Proficiency,0.02321335527866586,All Clusters
75,3rd Grade Math Proficiency,0.025717352406221194,All Clusters
76,3rd Grade Math Proficiency,0.0234814701847047,All Clusters
77,3rd Grade Math Proficiency,0.02473520881223401,All Clusters
78,3rd Grade Math Proficiency,0.024730020484685977,All Clusters
79,3rd Grade Math Proficiency,0.02654024741050176,All Clusters
80,Single-Headed Households,0.011449421986017616,All Clusters
81,Single-Headed Households,0.01129845234954463,All Clusters
82,Single-Headed Households,0.00815015445904177,All Clusters
83,Single-Headed Households,0.010501388484598695,All Clusters
84,Single-Headed Households,0.011106769408370298,All Clusters
85,Single-Headed Households,0.009908643273263129,All Clusters
86,Single-Headed Households,0.011885677065415767,All Clusters
87,Single-Headed Households,0.009238738084752618,All Clusters
88,Single-Headed Households,0.006734948507809757,All Clusters
89,Single-Headed Households,0.006803034742847713,All Clusters
90,Single-Headed Households,0.011990353198855108,All Clusters
91,Single-Headed Households,0.010517147639977131,All Clusters
92,Single-Headed Households,0.011849451954123014,All Clusters
93,Single-Headed Households,0.010491485167417824,All Clusters
94,Single-Headed Households,0.00983057824524114,All Clusters
95,Single-Headed Households,0.009506359402183473,All Clusters
96,Single-Headed Households,0.00888206478189213,All Clusters
97,Single-Headed Households,0.00987375883132191,All Clusters
98,Single-Headed Households,0.010169426149364003,All Clusters
99,Single-Headed Households,0.010813530022553475,All Clusters
100,Median Household Income,0.0051004175197072454,All Clusters
101,Median Household Income,0.005422318347017896,All Clusters
102,Median Household Income,0.008202304887101719,All Clusters
103,Median Household Income,0.006647098114299754,All Clusters
104,Median Household Income,0.005893680660399414,All Clusters
105,Median Household Income,0.00644220705932963,All Clusters
106,Median Household Income,0.005770706621497701,All Clusters
107,Median Household Income,0.005237385469636036,All Clusters
108,Median Household Income,0.005799020500779517,All Clusters
109,Median Household Income,0.005363876107247534,All Clusters
110,Median Household Income,0.007056251153440107,All Clusters
111,Median Household Income,0.005921182783292456,All Clusters
112,Median Household Income,0.0048628823392683485,All Clusters
113,Median Household Income,0.006318524674512327,All Clusters
114,Median Household Income,0.005943984850407258,All Clusters
115,Median Household Income,0.0050233266404479116,All Clusters
116,Median Household Income,0.005845375698648181,All Clusters
117,Median Household Income,0.005333660119524963,All Clusters
118,Median Household Income,0.005640798050633888,All Clusters
119,Median Household Income,0.0062657508309929,All Clusters
120,Industrial Pollutants,0.007468815164534792,All Clusters
121,Industrial Pollutants,0.0063423404811397965,All Clusters
122,Industrial Pollutants,0.004616328062031383,All Clusters
123,Industrial Pollutants,0.007008326291884526,All Clusters
124,Industrial Pollutants,0.004628616417610476,All Clusters
125,Industrial Pollutants,0.004307543858124929,All Clusters
126,Industrial Pollutants,0.0044806083776581795,All Clusters
127,Industrial Pollutants,0.004427776578052822,All Clusters
128,Industrial Pollutants,0.0068587761980164474,All Clusters
129,Industrial Pollutants,0.005208343710246255,All Clusters
130,Industrial Pollutants,0.004499166112691078,All Clusters
131,Industrial Pollutants,0.006579703374182788,All Clusters
132,Industrial Pollutants,0.0065868065002488985,All Clusters
133,Industrial Pollutants,0.005607434675728551,All Clusters
134,Industrial Pollutants,0.0059515516463976015,All Clusters
135,Industrial Pollutants,0.0068084788157957155,All Clusters
136,Industrial Pollutants,0.006900798227609806,All Clusters
137,Industrial Pollutants,0.005304181768885363,All Clusters
138,Industrial Pollutants,0.005508298665174993,All Clusters
139,Industrial Pollutants,0.005956837556921779,All Clusters
140,Public Assistance Rate,0.007315192256441838,All Clusters
141,Public Assistance Rate,0.0056482972355061944,All Clusters
142,Public Assistance Rate,0.004007631171515924,All Clusters
143,Public Assistance Rate,0.0053393296092097975,All Clusters
144,Public Assistance Rate,0.005072031324887205,All Clusters
145,Public Assistance Rate,0.00516389554746477,All Clusters
146,Public Assistance Rate,0.007036720371136229,All Clusters
147,Public Assistance Rate,0.006665669624362436,All Clusters
148,Public Assistance Rate,0.0045198231785178455,All Clusters
149,Public Assistance Rate,0.005411852137217621,All Clusters
150,Public Assistance Rate,0.004542939863420137,All Clusters
151,Public Assistance Rate,0.006804159631225493,All Clusters
152,Public Assistance Rate,0.006364221073811516,All Clusters
153,Public Assistance Rate,0.005411732458175833,All Clusters
154,Public Assistance Rate,0.005872777927798056,All Clusters
155,Public Assistance Rate,0.005733218074488344,All Clusters
156,Public Assistance Rate,0.006049956411379953,All Clusters
157,Public Assistance Rate,0.005028432234327362,All Clusters
158,Public Assistance Rate,0.0065080910053877394,All Clusters
159,Public Assistance Rate,0.006548552106775851,All Clusters
160,Subject (Read/Math),0.004472001546442228,All Clusters
161,Subject (Read/Math),0.005200645088947353,All Clusters
162,Subject (Read/Math),0.004710318123294366,All Clusters
163,Subject (Read/Math),0.004045695537007732,All Clusters
164,Subject (Read/Math),0.00545780946092822,All Clusters
165,Subject (Read/Math),0.0038905977168266492,All Clusters
166,Subject (Read/Math),0.005927201678428307,All Clusters
167,Subject (Read/Math),0.005491456624832192,All Clusters
168,Subject (Read/Math),0.0047685988002538204,All Clusters
169,Subject (Read/Math),0.004552942737427679,All Clusters
170,Subject (Read/Math),0.004925047164521024,All Clusters
171,Subject (Read/Math),0.0051327171500136215,All Clusters
172,Subject (Read/Math),0.004811233395839998,All Clusters
173,Subject (Read/Math),0.004845562909454926,All Clusters
174,Subject (Read/Math),0.00538726711364601,All Clusters
175,Subject (Read/Math),0.005689786026660593,All Clusters
176,Subject (Read/Math),0.004641479136636817,All Clusters
177,Subject (Read/Math),0.004997767657370811,All Clusters
178,Subject (Read/Math),0.005300610097284886,All Clusters
179,Subject (Read/Math),0.004305167977586177,All Clusters
180,Airborne Microparticles,0.0027749630923478152,All Clusters
181,Airborne Microparticles,0.002285344755099783,All Clusters
182,Airborne Microparticles,0.0035183733384683835,All Clusters
183,Airborne Microparticles,0.002674967938438022,All Clusters
184,Airborne Microparticles,0.0032208271145596212,All Clusters
185,Airborne Microparticles,0.0024044884752217888,All Clusters
186,Airborne Microparticles,0.0018259004706638882,All Clusters
187,Airborne Microparticles,0.0038737576255019057,All Clusters
188,Airborne Microparticles,0.0033558128565490675,All Clusters
189,Airborne Microparticles,0.0025790983605619155,All Clusters
190,Airborne Microparticles,0.00222462295337178,All Clusters
191,Airborne Microparticles,0.0029178992222076428,All Clusters
192,Airborne Microparticles,0.002880244941454002,All Clusters
193,Airborne Microparticles,0.002808937571547543,All Clusters
194,Airborne Microparticles,0.003057339942122428,All Clusters
195,Airborne Microparticles,0.0038697200529680398,All Clusters
196,Airborne Microparticles,0.0031247369512116263,All Clusters
197,Airborne Microparticles,0.002886203117173358,All Clusters
198,Airborne Microparticles,0.0037519734637903035,All Clusters
199,Airborne Microparticles,0.0027148739834411684,All Clusters
200,Ozone Concentration,0.002965750552754609,All Clusters
201,Ozone Concentration,0.0025268501308332025,All Clusters
202,Ozone Concentration,0.0022254637236406305,All Clusters
203,Ozone Concentration,0.0031418961433956616,All Clusters
204,Ozone Concentration,0.002339391401583568,All Clusters
205,Ozone Concentration,0.002615741144585182,All Clusters
206,Ozone Concentration,0.0031607186510879126,All Clusters
207,Ozone Concentration,0.003610012948076613,All Clusters
208,Ozone Concentration,0.0030095050073244423,All Clusters
209,Ozone Concentration,0.0031237882596949484,All Clusters
210,Ozone Concentration,0.0028768014194185954,All Clusters
211,Ozone Concentration,0.0031806665429024994,All Clusters
212,Ozone Concentration,0.0026010754563056127,All Clusters
213,Ozone Concentration,0.002909910927551662,All Clusters
214,Ozone Concentration,0.0024256486648466247,All Clusters
215,Ozone Concentration,0.0025986971639010426,All Clusters
216,Ozone Concentration,0.0026605364483397453,All Clusters
217,Ozone Concentration,0.0034099874870138214,All Clusters
218,Ozone Concentration,0.0028216523499217105,All Clusters
219,Ozone Concentration,0.0032585415872933288,All Clusters
220,High School Grad Rate,0.0020383665301912934,All Clusters
221,High School Grad Rate,0.0031516559452210435,All Clusters
222,High School Grad Rate,0.0022977025875908774,All Clusters
223,High School Grad Rate,0.0024620680020996932,All Clusters
224,High School Grad Rate,0.0017979908234329045,All Clusters
225,High School Grad Rate,0.0025794308662390186,All Clusters
226,High School Grad Rate,0.002792728310347825,All Clusters
227,High School Grad Rate,0.0028741724432673754,All Clusters
228,High School Grad Rate,0.0029671807368182312,All Clusters
229,High School Grad Rate,0.002855878441070714,All Clusters
230,High School Grad Rate,0.00227742601151093,All Clusters
231,High School Grad Rate,0.002525080123163659,All Clusters
232,High School Grad Rate,0.0026585355083553752,All Clusters
233,High School Grad Rate,0.0019770958249201165,All Clusters
234,High School Grad Rate,0.0027096137943157794,All Clusters
235,High School Grad Rate,0.0029571306894379257,All Clusters
236,High School Grad Rate,0.0022580601472853568,All Clusters
237,High School Grad Rate,0.0027093943048581703,All Clusters
238,High School Grad Rate,0.002441468760861931,All Clusters
239,High School Grad Rate,0.002699103555764748,All Clusters
240,Extreme Heat Exposure,0.0022624769667655142,All Clusters
241,Extreme Heat Exposure,0.0018437502176656961,All Clusters
242,Extreme Heat Exposure,0.0018322872789177103,All Clusters
243,Extreme Heat Exposure,0.004102849069949954,All Clusters
244,Extreme Heat Exposure,0.0028776729279827995,All Clusters
245,Extreme Heat Exposure,0.0028444299069649848,All Clusters
246,Extreme Heat Exposure,0.0014266863524090567,All Clusters
247,Extreme Heat Exposure,0.0026409151209044746,All Clusters
248,Extreme Heat Exposure,0.002150870889091494,All Clusters
249,Extreme Heat Exposure,0.0021346907255673786,All Clusters
250,Extreme Heat Exposure,0.0028866291385297727,All Clusters
251,Extreme Heat Exposure,0.0016257735399490825,All Clusters
252,Extreme Heat Exposure,0.001726654956270668,All Clusters
