sedalea,latitude,longitude
400720,32.9920489,-113.8173717
401740,32.8391529,-111.9208947
401160,33.6694969,-113.9521527
407530,32.6430009,-111.4370935
409630,32.5295065,-114.0048912
400082,35.1052137,-114.4678343
408340,33.3111998,-111.9835387
401410,33.3198987,-112.811794
406330,33.4408648,-112.0990258
403450,33.5743168,-112.1351943
408520,33.4119203,-112.2743781
400450,33.4814273,-112.407871
405070,34.8350635,-112.0838977
408910,31.86554,-109.6700375
406030,31.5472872,-110.6799581
634140,36.6535732,-121.099188
635830,38.4570453,-122.6692775
638730,35.3198328,-119.6178338
641430,35.6380655,-119.7608514
619110,33.0470228,-116.4590731
621060,40.6096275,-120.4598515
624660,37.3573198,-120.5256084
625150,37.662361,-121.0342213
630210,33.743951,-117.1888911
602630,33.8273173,-117.9621537
609810,39.8936816,-122.4874293
614190,40.4941727,-123.8376331
614430,37.3293586,-122.0614987
621600,37.9222276,-121.668359
601650,37.877215,-122.1288576
607230,37.2754238,-121.9462937
621270,37.2358769,-120.2614016
629130,39.6041742,-121.4309121
611820,37.3270983,-121.7770803
612070,38.707909,-120.5909221
612910,33.1232648,-117.0594888
613530,33.3628878,-117.3414128
616230,32.7738,-116.8175945
618930,37.6901929,-122.4962701
635110,38.0055686,-122.5028113
638790,37.9455929,-122.6862035
642350,39.0852587,-121.4073702
608550,37.0721241,-120.2969305
614820,38.2857504,-121.2399046
638640,32.6023081,-116.9846947
640500,39.3010039,-122.8366093
610860,35.7630952,-119.2469519
606053,36.5897368,-121.4746436
626880,39.2776911,-120.9336868
634380,33.0161063,-117.2545162
639930,36.10552,-119.3706428
608160,34.1385568,-117.5776791
636972,34.6620026,-117.4471342
611700,41.1423017,-122.3099775
630250,38.1985401,-122.6342942
606018,36.6451008,-119.7975716
606016,36.4914661,-119.453466
614760,33.9036909,-117.9491871
619830,36.469336,-119.5329896
606107,36.0714962,-118.5589696
632010,40.2517209,-122.1687429
642510,34.4865289,-118.5520651
607920,33.9112654,-118.3590183
618060,33.6846338,-118.0211933
603030,40.9721687,-123.9071651
606019,34.4401,-119.845687
635670,34.8746921,-120.3547359
635850,34.6358707,-119.8949947
606004,38.6551086,-121.4473217
626310,37.3868098,-122.0998178
602670,38.4845855,-123.0858851
622800,37.1752816,-121.9659947
606003,38.7392057,-121.4806566
606008,40.9502798,-123.2351549
606025,39.7787191,-122.0754139
606011,40.7461333,-122.8022178
630750,39.0715279,-120.7122179
638610,39.0624282,-121.7735887
608010,32.7410776,-115.6421516
621400,36.2331345,-119.8435592
633980,36.6532922,-121.6154238
606023,34.5090691,-119.0476898
636390,37.4640935,-122.2255367
612120,34.0694766,-118.0373239
642480,33.9670928,-118.03767
634980,37.5784337,-122.3292816
606022,34.3587415,-119.1331432
605940,38.1478436,-120.4651598
606037,34.0587656,-118.0964295
616500,36.3047466,-119.6141167
606024,34.4127008,-119.0010042
619650,36.1143669,-121.0487966
633630,38.7632586,-121.2955334
611780,38.8548216,-121.5333568
606013,37.4710052,-120.962712
602820,34.6548837,-118.1499193
606020,37.7473502,-121.5819582
606017,36.5189083,-119.3310929
643410,41.7984998,-122.6322692
636940,41.3926588,-122.0181498
606006,40.8894393,-123.4325603
606007,41.2034758,-122.7097356
606009,40.5911229,-122.8702226
606021,37.4054387,-118.6301034
606010,40.8290137,-123.0228589
606029,36.2563219,-119.1940883
606028,36.358061,-119.0522089
606012,40.9469937,-122.7266042
606005,41.2663944,-123.1705167
606026,36.4785925,-119.1969249
606027,36.4369892,-118.6715322
619540,35.393093,-118.7772289
629270,34.1666166,-119.0841513
636600,40.6652243,-122.134246
637260,37.9227248,-120.422503
605820,33.0859033,-115.6791989
602700,40.4431202,-122.3156362
635600,37.0020733,-122.1134729
638280,38.141434,-119.927617
631230,38.8349084,-123.5185681
606031,37.7590922,-121.3564239
606001,37.4169095,-119.5990979
606014,37.5477005,-120.9068907
606032,37.6257134,-121.4377868
606002,37.1737072,-119.9030808
606015,37.0013895,-121.9520594
606033,37.6469333,-121.3149687
903630,41.3763804,-72.4608355
903660,41.3635379,-73.0038921
903750,41.6644949,-72.4113823
903780,41.2881408,-73.3553307
903570,41.7597414,-72.0895315
900005,41.8616318,-72.2239694
903600,41.8823963,-73.3768438
903720,41.9699218,-73.1784731
1313053,32.3717532,-84.7974159
1313215,32.4698571,-84.8130988
1719080,42.1787714,-87.8367387
1730450,42.0719749,-88.0712901
1732700,41.3564987,-89.4554198
1729280,41.8899758,-87.7989388
1733420,41.5100091,-87.7346941
1717901,40.9935122,-88.7233485
1724090,42.029453,-87.8642087
1729730,41.5594694,-89.4448495
1730330,41.331334,-88.83252
1732220,40.9124848,-88.5631348
1733270,41.7597695,-87.7704005
1735190,38.5968831,-88.8692552
1740800,42.3897157,-87.9458874
1741370,38.3702056,-88.7531928
1704770,38.6059576,-89.5269379
1725650,41.578614,-89.0930993
1732910,41.8724134,-87.870798
1733240,40.298175,-88.1345723
1738100,41.1575752,-88.7877848
1723050,40.1403132,-89.3890882
1734290,41.943689,-89.0439671
1738970,41.608374,-87.6225568
1732580,42.1907882,-87.9810531
1704230,40.2823717,-87.9020276
1717903,40.9341111,-88.7675833
1726880,41.8320708,-87.7814893
1727740,38.3234419,-89.3236894
1728200,42.1017872,-87.7501283
1729220,41.7233592,-87.7600471
1743200,38.359949,-89.0575056
1726180,38.3505563,-88.3329368
